example_id,line_index,image,crop_fraction,degradation,gt_start_px,gt_end_px,pred_start_px,pred_end_px,interval_iou,boundary_mae_px,boundary_mae_normalized,center_error_px,center_error_normalized,sw_score,normalized_sw_score,mean_path_cosine,path_steps,target_windows,score_mode
11,4,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDataset/DatasetPairs/page_pairs/pair_000009/A/linesImages/line_15.png,0.35,none,462.0,820.0,442.368,835.584,0.9104410807291667,17.607999999999976,0.017195312499999976,2.024000000000001,0.001976562500000001,137.62596130371094,2.8672075271606445,0.889380545058149,47,125,mutual-z+ink
12,4,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDataset/DatasetPairs/page_pairs/pair_000009/A/linesImages/line_15.png,0.5,blur,349.0,861.0,344.064,876.544,0.9615384615384615,10.23999999999998,0.009999999999999981,5.303999999999974,0.005179687499999974,161.8495635986328,2.4899932861328127,0.8060146139218257,65,125,mutual-z+ink
13,5,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDataset/DatasetPairs/page_pairs/pair_000065/B/linesImages/line_07.png,0.2,contrast,242.0,447.0,221.184,466.944,0.8341471354166666,20.38000000000001,0.01990234375000001,0.4359999999999786,0.00042578124999997913,69.30671691894531,2.2357005457724295,0.799125770572573,28,125,mutual-z+ink
14,5,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDataset/DatasetPairs/page_pairs/pair_000065/B/linesImages/line_07.png,0.35,noise,327.0,685.0,319.488,671.744,0.943181072030467,10.383999999999986,0.010140624999999986,10.384000000000015,0.010140625000000014,116.20882415771484,2.5262787860372793,0.8546047698706388,40,125,mutual-z+ink
15,5,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDataset/DatasetPairs/page_pairs/pair_000065/B/linesImages/line_07.png,0.5,morphology,323.0,835.0,237.568,786.432,0.775706691305454,66.99999999999999,0.06542968749999999,67.0,0.0654296875,128.23167419433594,1.831881059919085,0.7102358035876283,56,125,mutual-z+ink
16,6,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDataset/DatasetPairs/page_pairs/pair_000026/B/linesImages/line_02.png,0.2,none,502.0,707.0,401.408,704.512,0.6626875049085053,51.54000000000002,0.05033203125000002,51.539999999999964,0.050332031249999964,66.86590576171875,1.7596290989925987,0.818484644477184,26,125,mutual-z+ink
17,6,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDataset/DatasetPairs/page_pairs/pair_000026/B/linesImages/line_02.png,0.35,blur,352.0,710.0,344.064,704.512,0.9633159896812556,6.7120000000000175,0.006554687500000017,6.711999999999989,0.006554687499999989,110.7966537475586,2.308263619740804,0.8369119571787971,42,125,mutual-z+ink
18,6,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDataset/DatasetPairs/page_pairs/pair_000026/B/linesImages/line_02.png,0.5,contrast,183.0,695.0,172.032,704.512,0.9615384615384617,10.239999999999966,0.009999999999999967,0.7280000000000086,0.0007109375000000084,174.34239196777344,2.682190645658053,0.8898256368361986,65,125,mutual-z+ink
19,7,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDataset/DatasetPairs/page_pairs/pair_000052/A/linesImages/line_09.png,0.2,noise,297.0,502.0,278.528,499.712,0.9071024557886447,10.379999999999995,0.010136718749999996,10.379999999999995,0.010136718749999996,83.77922821044922,3.102934378164786,0.9217354655265808,26,125,mutual-z+ink
20,7,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDataset/DatasetPairs/page_pairs/pair_000052/A/linesImages/line_09.png,0.35,morphology,155.0,513.0,204.8,507.904,0.846659217877095,27.448000000000008,0.026804687500000007,22.351999999999975,0.021828124999999976,87.5978775024414,2.189946937561035,0.7953381612896919,34,125,mutual-z+ink
21,7,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDataset/DatasetPairs/page_pairs/pair_000052/A/linesImages/line_09.png,0.5,none,194.0,706.0,204.8,770.048,0.8700663833569424,37.42400000000001,0.036546875000000006,37.42399999999998,0.03654687499999998,148.0492401123047,2.085200564962038,0.8699192623297374,60,125,mutual-z+ink
22,8,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDataset/DatasetPairs/page_pairs/pair_000014/A/linesImages/line_02.png,0.2,blur,309.0,514.0,294.912,524.288,0.8937290736607142,12.188000000000017,0.011902343750000016,1.8999999999999773,0.0018554687499999778,62.704200744628906,2.0901400248209634,0.7313596635627059,26,125,mutual-z+ink
23,8,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDataset/DatasetPairs/page_pairs/pair_000014/A/linesImages/line_02.png,0.35,contrast,164.0,522.0,221.184,524.288,0.8349320543565149,29.736000000000004,0.029039062500000004,29.73599999999999,0.02903906249999999,95.4077377319336,2.5107299403140417,0.9065956485432547,37,125,mutual-z+ink
24,8,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDataset/DatasetPairs/page_pairs/pair_000014/A/linesImages/line_02.png,0.5,noise,170.0,682.0,221.184,704.512,0.8621247044032689,36.84799999999997,0.03598437499999997,36.847999999999956,0.03598437499999996,148.1400146484375,2.469000244140625,0.8995100116091115,56,125,mutual-z+ink
25,9,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDataset/DatasetPairs/page_pairs/pair_000024/A/linesImages/line_11.png,0.2,morphology,522.0,727.0,483.328,729.088,0.8341471354166667,20.379999999999995,0.019902343749999996,18.29200000000003,0.01786328125000003,60.42580795288086,2.014193598429362,0.8905219252292926,26,125,mutual-z+ink
26,9,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDataset/DatasetPairs/page_pairs/pair_000024/A/linesImages/line_11.png,0.35,none,106.0,464.0,114.688,499.712,0.8872272117690089,22.199999999999996,0.021679687499999996,22.19999999999999,0.02167968749999999,102.5743637084961,2.1369659105936685,0.8922452275143113,43,125,mutual-z+ink
27,9,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDataset/DatasetPairs/page_pairs/pair_000024/A/linesImages/line_11.png,0.5,blur,129.0,641.0,106.496,655.36,0.9328358208955223,18.43200000000001,0.01800000000000001,4.072000000000003,0.003976562500000003,163.52854919433594,2.440724614840835,0.8895403987436152,67,125,mutual-z+ink
28,10,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDataset/DatasetPairs/page_pairs/pair_000043/A/linesImages/line_12.png,0.2,contrast,617.0,822.0,557.056,835.584,0.7360121783088238,36.76399999999995,0.035902343749999954,23.180000000000064,0.022636718750000062,64.14463806152344,1.886607001809513,0.9125896890958151,27,125,mutual-z+ink
29,10,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDataset/DatasetPairs/page_pairs/pair_000043/A/linesImages/line_12.png,0.35,noise,454.0,812.0,450.56,835.584,0.9298121675531916,13.511999999999972,0.013195312499999973,10.072000000000003,0.009835937500000003,115.90540313720703,2.414695898691813,0.8894119789095029,46,125,mutual-z+ink
30,10,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDataset/DatasetPairs/page_pairs/pair_000043/A/linesImages/line_12.png,0.5,morphology,184.0,696.0,163.84,712.704,0.9328358208955225,18.431999999999974,0.017999999999999974,1.7280000000000086,0.0016875000000000084,168.98480224609375,2.4850706212660847,0.8707086012913631,65,125,mutual-z+ink
31,11,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDataset/DatasetPairs/page_pairs/pair_000050/B/linesImages/line_12.png,0.2,none,422.0,627.0,417.792,638.976,0.9268301504629629,8.092000000000013,0.007902343750000013,3.8840000000000146,0.003792968750000014,80.43260192871094,2.8725929260253906,0.8691311535926965,26,125,mutual-z+ink
32,11,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDataset/DatasetPairs/page_pairs/pair_000050/B/linesImages/line_12.png,0.35,blur,494.0,852.0,483.328,851.968,0.9709660619737869,5.352000000000032,0.0052265625000000315,5.352000000000089,0.005226562500000087,122.86270904541016,2.6709284575089165,0.8429357328198173,44,125,mutual-z+ink
33,11,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDataset/DatasetPairs/page_pairs/pair_000050/B/linesImages/line_12.png,0.5,contrast,203.0,715.0,172.032,761.856,0.8680555555555556,38.91199999999999,0.03799999999999999,7.944000000000017,0.007757812500000016,167.3808135986328,2.261902886468011,0.8413639005739242,64,125,mutual-z+ink
34,12,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDataset/DatasetPairs/page_pairs/pair_000029/B/linesImages/line_02.png,0.2,noise,596.0,801.0,598.016,835.584,0.8472352076933355,18.299999999999955,0.017871093749999956,18.299999999999955,0.017871093749999956,69.80107116699219,2.251647456999748,0.8834218537578216,26,125,mutual-z+ink
35,12,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDataset/DatasetPairs/page_pairs/pair_000029/B/linesImages/line_02.png,0.35,morphology,454.0,812.0,450.56,835.584,0.9298121675531916,13.511999999999972,0.013195312499999973,10.072000000000003,0.009835937500000003,114.45113372802734,2.289022674560547,0.9063880337609185,45,125,mutual-z+ink
36,12,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDataset/DatasetPairs/page_pairs/pair_000029/B/linesImages/line_02.png,0.5,none,346.0,858.0,344.064,835.584,0.9526166682232807,12.176000000000016,0.011890625000000016,12.176000000000045,0.011890625000000044,149.39932250976562,2.409666492092994,0.9095335633590304,58,125,mutual-z+ink
37,13,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDataset/DatasetPairs/page_pairs/pair_000026/A/linesImages/line_12.png,0.2,blur,357.0,562.0,352.256,581.632,0.8937290736607144,12.187999999999988,0.011902343749999988,7.44399999999996,0.007269531249999961,67.533203125,2.3287311422413794,0.7337816238403321,25,125,mutual-z+ink
38,13,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDataset/DatasetPairs/page_pairs/pair_000026/A/linesImages/line_12.png,0.35,contrast,127.0,485.0,188.416,491.52,0.8136288818171843,33.96799999999999,0.03317187499999999,33.96799999999996,0.03317187499999996,94.50898742675781,2.4870786164936267,0.8594449388014304,37,125,mutual-z+ink
39,13,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDataset/DatasetPairs/page_pairs/pair_000026/A/linesImages/line_12.png,0.5,noise,338.0,850.0,335.872,835.584,0.9678212429589519,8.27200000000002,0.00807812500000002,8.272000000000048,0.008078125000000047,135.1471710205078,2.1451931908017112,0.8790053005019823,60,125,mutual-z+ink
40,14,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDataset/DatasetPairs/page_pairs/pair_000026/A/linesImages/line_14.png,0.2,morphology,152.0,357.0,180.224,376.832,0.7862581838884145,24.02799999999999,0.023464843749999992,24.02800000000002,0.02346484375000002,54.345130920410156,2.26438045501709,0.8009527555920861,22,125,mutual-z+ink
41,14,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDataset/DatasetPairs/page_pairs/pair_000026/A/linesImages/line_14.png,0.35,none,132.0,490.0,188.416,491.52,0.8388518024032043,28.96799999999999,0.02828906249999999,28.96799999999996,0.028289062499999962,100.59164428710938,2.718693088840794,0.9016257395615449,37,125,mutual-z+ink
42,14,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDataset/DatasetPairs/page_pairs/pair_000026/A/linesImages/line_14.png,0.5,blur,151.0,663.0,180.224,655.36,0.928,18.431999999999988,0.017999999999999988,10.79200000000003,0.01053906250000003,129.7659912109375,2.1994235798463984,0.7704792780834332,57,125,mutual-z+ink
43,15,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDataset/DatasetPairs/page_pairs/pair_000038/A/linesImages/line_06.png,0.2,contrast,581.0,786.0,565.248,811.008,0.8341471354166667,20.379999999999995,0.019902343749999996,4.628000000000043,0.004519531250000042,67.64527893066406,2.182105771956905,0.852075622037605,27,125,mutual-z+ink
44,15,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDataset/DatasetPairs/page_pairs/pair_000038/A/linesImages/line_06.png,0.35,noise,522.0,880.0,507.904,843.776,0.8647660818713448,25.160000000000025,0.024570312500000024,25.160000000000082,0.02457031250000008,90.72567749023438,2.1601351783389138,0.8579494586357703,39,125,mutual-z+ink
45,15,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDataset/DatasetPairs/page_pairs/pair_000038/A/linesImages/line_06.png,0.5,morphology,185.0,697.0,180.224,712.704,0.9615384615384615,10.23999999999998,0.009999999999999981,5.463999999999942,0.005335937499999943,165.26943969726562,2.5426067645733172,0.8740877115633339,64,125,mutual-z+ink
46,16,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDataset/DatasetPairs/page_pairs/pair_000016/A/linesImages/line_15.png,0.2,none,205.0,410.0,221.184,417.792,0.8873265912252342,11.987999999999985,0.011707031249999986,11.988,0.01170703125,33.258628845214844,1.2318010683412906,0.8476001336461022,21,125,mutual-z+ink
47,16,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDataset/DatasetPairs/page_pairs/pair_000016/A/linesImages/line_15.png,0.35,blur,360.0,718.0,335.872,729.088,0.9104410807291667,17.607999999999976,0.017195312499999976,6.519999999999982,0.006367187499999982,104.26520538330078,2.127861334353077,0.7921020845149426,47,125,mutual-z+ink
48,16,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDataset/DatasetPairs/page_pairs/pair_000016/A/linesImages/line_15.png,0.5,contrast,231.0,743.0,229.376,745.472,0.9920634920634921,2.0479999999999876,0.001999999999999988,0.42399999999997817,0.0004140624999999787,137.94564819335938,2.1554007530212402,0.8873802683045787,62,125,mutual-z+ink
49,17,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDataset/DatasetPairs/page_pairs/pair_000061/A/linesImages/line_15.png,0.2,noise,524.0,729.0,483.328,729.088,0.8341471354166667,20.379999999999995,0.019902343749999996,20.29200000000003,0.01981640625000003,53.46272277832031,1.620082508433949,0.7962865661019864,23,125,mutual-z+ink
50,17,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDataset/DatasetPairs/page_pairs/pair_000061/A/linesImages/line_15.png,0.35,morphology,285.0,643.0,237.568,679.936,0.809280960648148,42.18400000000001,0.04119531250000001,5.2479999999999905,0.005124999999999991,125.66450500488281,2.3271204630533853,0.8449561845283119,49,125,mutual-z+ink
51,17,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDataset/DatasetPairs/page_pairs/pair_000061/A/linesImages/line_15.png,0.5,none,302.0,814.0,294.912,786.432,0.933236753691089,17.328000000000003,0.016921875000000003,17.327999999999975,0.016921874999999975,140.123779296875,2.2971111360143444,0.8344321790135513,59,125,mutual-z+ink
52,18,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDataset/DatasetPairs/page_pairs/pair_000024/A/linesImages/line_07.png,0.2,blur,194.0,399.0,172.032,393.216,0.8777272567057912,13.87599999999999,0.01355078124999999,13.875999999999976,0.013550781249999977,59.48503494262695,2.1244655336652483,0.847251832485199,26,125,mutual-z+ink
53,18,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDataset/DatasetPairs/page_pairs/pair_000024/A/linesImages/line_07.png,0.35,contrast,320.0,678.0,311.296,671.744,0.95920415375889,7.47999999999999,0.00730468749999999,7.480000000000018,0.007304687500000018,115.63336181640625,2.628030950372869,0.8578740393006524,43,125,mutual-z+ink
54,18,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDataset/DatasetPairs/page_pairs/pair_000024/A/linesImages/line_07.png,0.5,noise,212.0,724.0,196.608,737.28,0.9469696969696969,14.335999999999984,0.013999999999999985,1.05600000000004,0.001031250000000039,163.69091796875,2.4072193818933822,0.8327036639675498,64,125,mutual-z+ink
55,19,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDataset/DatasetPairs/page_pairs/pair_000009/B/linesImages/line_10.png,0.2,morphology,531.0,736.0,507.904,737.28,0.8937290736607144,12.187999999999988,0.011902343749999988,10.908000000000015,0.010652343750000015,57.35912322998047,1.9779008010338093,0.6564689499139785,25,125,mutual-z+ink
56,19,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDataset/DatasetPairs/page_pairs/pair_000009/B/linesImages/line_10.png,0.35,none,339.0,697.0,327.68,704.512,0.9500254755434784,9.415999999999968,0.00919531249999997,1.9039999999999964,0.0018593749999999964,116.37846374511719,2.375070688675861,0.7995420738377355,44,125,mutual-z+ink
57,19,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDataset/DatasetPairs/page_pairs/pair_000009/B/linesImages/line_10.png,0.5,blur,246.0,758.0,204.8,761.856,0.9191176470588235,22.52799999999999,0.021999999999999992,18.672000000000025,0.018234375000000025,136.7554473876953,1.848046586320207,0.7251419879622378,59,125,mutual-z+ink
58,20,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDataset/DatasetPairs/page_pairs/pair_000065/A/linesImages/line_13.png,0.2,contrast,307.0,512.0,270.336,524.288,0.8072391633064516,24.476,0.02390234375,12.187999999999988,0.011902343749999988,54.13470458984375,1.6917095184326172,0.7752578934797874,26,125,mutual-z+ink
59,20,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDataset/DatasetPairs/page_pairs/pair_000065/A/linesImages/line_13.png,0.35,noise,105.0,463.0,131.072,475.136,0.8967730780037607,19.104000000000013,0.018656250000000013,19.104000000000042,0.01865625000000004,92.15103912353516,2.143047421477562,0.8322175592184067,42,125,mutual-z+ink
60,20,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDataset/DatasetPairs/page_pairs/pair_000065/A/linesImages/line_13.png,0.5,morphology,140.0,652.0,122.88,647.168,0.9585122467493197,10.975999999999999,0.010718749999999999,10.975999999999999,0.010718749999999999,133.7688751220703,1.9965503749562734,0.8594891609203431,62,125,mutual-z+ink
61,21,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDataset/DatasetPairs/page_pairs/pair_000009/B/linesImages/line_09.png,0.2,none,575.0,780.0,581.632,786.432,0.9382118127814145,6.531999999999982,0.006378906249999983,6.531999999999925,0.006378906249999927,72.7930679321289,2.799733382004958,0.8412845246493816,24,125,mutual-z+ink
62,21,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDataset/DatasetPairs/page_pairs/pair_000009/B/linesImages/line_09.png,0.35,blur,395.0,753.0,385.024,778.24,0.9104410807291666,17.608000000000004,0.017195312500000004,7.632000000000062,0.00745312500000006,112.08697509765625,2.3351453145345054,0.7269219352823236,46,125,mutual-z+ink
63,21,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDataset/DatasetPairs/page_pairs/pair_000009/B/linesImages/line_09.png,0.5,contrast,238.0,750.0,245.76,778.24,0.9333629498000888,18.0,0.017578125,18.0,0.017578125,165.7425079345703,2.4737687751428403,0.8104225296166635,62,125,mutual-z+ink
64,22,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDataset/DatasetPairs/page_pairs/pair_000049/A/linesImages/line_05.png,0.2,noise,621.0,826.0,622.592,843.776,0.9130606528530903,9.683999999999969,0.00945703124999997,9.683999999999969,0.00945703124999997,74.70213317871094,2.667933327811105,0.7973783225924881,27,125,mutual-z+ink
65,22,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDataset/DatasetPairs/page_pairs/pair_000049/A/linesImages/line_05.png,0.35,morphology,516.0,874.0,524.288,851.968,0.9153072625698323,15.160000000000025,0.014804687500000024,6.872000000000071,0.006710937500000069,113.78353881835938,2.7752082638624236,0.9135156992154244,39,125,mutual-z+ink
66,22,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDataset/DatasetPairs/page_pairs/pair_000049/A/linesImages/line_05.png,0.5,none,291.0,803.0,270.336,819.2,0.9328358208955223,18.432000000000016,0.018000000000000016,2.231999999999971,0.0021796874999999716,177.18222045898438,2.6056208891027115,0.8760124932635914,66,125,mutual-z+ink
67,23,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDataset/DatasetPairs/page_pairs/pair_000014/B/linesImages/line_05.png,0.2,blur,689.0,894.0,679.936,917.504,0.8629108297413793,16.283999999999992,0.015902343749999992,7.220000000000027,0.007050781250000027,59.955387115478516,2.0674271419130523,0.8568488503324574,29,125,mutual-z+ink
68,23,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDataset/DatasetPairs/page_pairs/pair_000014/B/linesImages/line_05.png,0.35,contrast,129.0,487.0,114.688,548.864,0.824550412735849,38.088000000000015,0.037195312500000015,23.77600000000001,0.02321875000000001,98.27696228027344,1.8199437459309895,0.8084321763780382,45,125,mutual-z+ink
69,23,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDataset/DatasetPairs/page_pairs/pair_000014/B/linesImages/line_05.png,0.5,noise,399.0,911.0,393.216,917.504,0.9765625,6.1440000000000055,0.006000000000000005,0.36000000000001364,0.0003515625000000133,165.4246063232422,2.584759473800659,0.8950041519128717,64,125,mutual-z+ink
70,24,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDataset/DatasetPairs/page_pairs/pair_000065/B/linesImages/line_03.png,0.2,morphology,199.0,404.0,212.992,442.368,0.7848525689490813,26.179999999999993,0.025566406249999993,26.180000000000007,0.025566406250000007,51.24003982543945,1.8300014223371233,0.6531368040790161,24,125,mutual-z+ink
71,24,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDataset/DatasetPairs/page_pairs/pair_000065/B/linesImages/line_03.png,0.35,none,247.0,605.0,221.184,606.208,0.9298121675531915,13.511999999999986,0.013195312499999987,12.30400000000003,0.01201562500000003,104.71854400634766,2.094370880126953,0.8260611988777338,43,125,mutual-z+ink
72,24,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDataset/DatasetPairs/page_pairs/pair_000065/B/linesImages/line_03.png,0.5,blur,262.0,774.0,253.952,794.624,0.9469696969696969,14.336000000000013,0.014000000000000012,6.288000000000011,0.006140625000000011,118.38896942138672,1.7157821655273438,0.7262654531569708,63,125,mutual-z+ink
73,25,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDataset/DatasetPairs/page_pairs/pair_000043/A/linesImages/line_03.png,0.2,contrast,729.0,934.0,671.744,892.928,0.6250686352266488,49.16399999999999,0.04801171874999999,49.16399999999999,0.04801171874999999,36.910430908203125,1.3670529966001157,0.853196682035923,20,125,mutual-z+ink
74,25,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDataset/DatasetPairs/page_pairs/pair_000043/A/linesImages/line_03.png,0.35,noise,524.0,882.0,524.288,892.928,0.9695984040246335,5.608000000000004,0.005476562500000004,5.607999999999947,0.0054765624999999485,101.44927215576172,2.254428270128038,0.8921081443627675,45,125,mutual-z+ink
75,25,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDataset/DatasetPairs/page_pairs/pair_000043/A/linesImages/line_03.png,0.5,morphology,329.0,841.0,278.528,860.16,0.8802816901408451,34.815999999999974,0.033999999999999975,15.655999999999949,0.01528906249999995,160.6621856689453,2.262847685478103,0.8866511998754559,66,125,mutual-z+ink
76,26,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDataset/DatasetPairs/page_pairs/pair_000009/A/linesImages/line_01.png,0.2,none,213.0,418.0,188.416,425.984,0.8629108297413793,16.283999999999992,0.015902343749999992,8.300000000000011,0.008105468750000011,62.385982513427734,2.079532750447591,0.7871629601275479,27,125,mutual-z+ink
